ID,News/Comment,Type
TRAIN_1,കേള്‍വി തകരാറുള്ള കുട്ടികള്‍ക്ക് നടത്തുന്ന സൗജന്യ കോക്ലിയാര്‍ ഇംപ്ലാന്റേഷന്‍ സര്‍ജറി പിണറായി സര്‍ക്കാര്‍ നിര്‍ത്തലാക്കി.,FALSE
TRAIN_2,ചന്ദ്രയാന് കേരള മുഖ്യമന്ത്രി പിണറായി വിജയൻ മാത്രം ആശംസ നേർന്നില്ല.,FALSE
TRAIN_3,പിണറായി വിജയന്‍ സര്‍ക്കാര്‍ നിര്‍മിച്ച കേരളത്തിലെ അത്യാധുനിക റോഡിന്റെ ദൃശ്യം.,FALSE
TRAIN_4,മുഖ്യമന്ത്രിയുടെ ബിനാമി എന്ന് സ്വർണക്കടത്തു കേസ് സ്വപ്ന സുരേഷ് ആരോപിക്കുന്ന ഷാജ് കിരണുമായി മുഖ്യമന്ത്രി പിണറായി വിജയൻ നിൽക്കുന്ന ചിത്രം.,FALSE
TRAIN_5,പിണറായി വിജയന്‍ ഇടപെട്ട് കേരളത്തില്‍ നിന്നുള്ള സംസ്‌കൃത സിനിമ പ്രിയമാനസം IFFK യില്‍ നിന്ന് ഒഴിവാക്കി. ഹിന്ദുത്വ അജന്‍ഡയാണ് ചിത്രത്തിനെന്ന് ആരോപിച്ചാണ് ഒഴിവാക്കല്‍,FALSE
TRAIN_6,മുഖ്യമന്ത്രി പിണറായി വിജയനെ ഡല്‍ഹിയിലേക്ക് വിളിപ്പിച്ച്് കോളറില്‍ പിടിച്ച് പ്രധാനമന്ത്രി.,FALSE
TRAIN_7,കോടതി പറഞ്ഞാല്‍ പൗരത്വ നിയമം നടപ്പിലാക്കുമെന്ന് മുഖ്യമന്ത്രി പിണറായി വിജയന്‍,FALSE
TRAIN_8,"""അയ്യപ്പ വിശ്വാസികളുടെ വോട്ട് സി.പി.എമ്മിന് വേണ്ട. കമ്മ്യൂണിസ്റ്റ് പാർട്ടി തരംതാണിട്ടില്ല, "" മുഖ്യമന്ത്രി പിണറായി വിജയൻ പറഞ്ഞു",FALSE
TRAIN_9,ഏതൊരു മലയാളിയേയും പോലെ പിണറായി സർക്കാരിന്റെ തുടർഭരണത്തിനായി ആഗ്രഹിക്കുന്നെന്ന് ഫഹദ് ഫാസിൽ,FALSE
TRAIN_10,"മുഖ്യമന്ത്രി പിണറായി വിജയന്‍ ധര്‍മടം മണ്ഡലത്തിലേക്ക് മത്സരിക്കാന്‍ നല്‍കിയ സത്യവാങ്മൂലത്തില്‍, തന്റെ വീടിന്റെ വിപണിവില 8.7ലക്ഷം രൂപയാണെന്ന് പറഞ്ഞിരിക്കുന്നു",FALSE
TRAIN_11,1977ലെ തിരഞ്ഞെടുപ്പ് സമയത്ത് ബിജെപി പിന്തുണയോടെ എൽ ഡി എഫ് സ്ഥാനാർത്ഥിയായി പിണറായി വിജയൻ മത്സരിച്ചുയെന്ന് തെളിയിക്കുന്ന പോസ്റ്റർ പുറത്ത്.,FALSE
TRAIN_12,മെല്‍ബണില്‍ പിണറായിക്ക് ആദരമായി കൂറ്റന്‍ ബോർഡ്; ഫോട്ടോഷോപ്പോ അതോ...സത്യം പുറത്ത്,HALF TRUE
TRAIN_13,മുഖ്യമന്ത്രി പിണറായി വിജയനെതിരെ വിഎസ് അച്യുതാനന്ദൻ തരംതാണ പരാമർശം നടത്തി,FALSE
TRAIN_14,മുഖ്യമന്ത്രി പിണറായി വിജയനെ പി ശ്രീരാമകൃഷ്ണന്‍ വിമര്‍ശിക്കുന്നത്,FALSE
TRAIN_15,തിരഞ്ഞെടുപ്പ് പ്രചാരണത്തിനിടെ മുഖ്യമന്ത്രി പിണറായി വിജയനെ പൊതുവേദിയിൽവെച്ചു കമ്മ്യൂണിസ്റ്റ്‌ പ്രവർത്തകൻ ആക്രമിച്ചതിന്റെ വീഡിയോ പുറത്ത്.,FALSE
TRAIN_16,"മുഖ്യമന്ത്രി പിണറായി വിജയന്‍ ധര്‍മടം മണ്ഡലത്തിലേക്ക് മത്സരിക്കാന്‍ നല്‍കിയ സത്യവാങ്മൂലത്തില്‍, തന്റെ വീടിന്റെ വിപണിവില 8.7ലക്ഷം രൂപയാണെന്ന് പറഞ്ഞിരിക്കുന്നു.",FALSE
TRAIN_17,സ്വപ്ന പിണറായി യുടെ മകളുടെ കല്യാണത്തിന് പങ്കെടുത്ത ഫോട്ടോ പുറത്ത്,FALSE
TRAIN_18,പിണറായി വിജയന്‍ വൃക്ഷതൈ നടാന്‍ ബൂട്ടും ഗ്ലൌവ്സും ഇട്ടു പോകുന്നതിന്‍റെ ചിത്രം.,FALSE
TRAIN_19,പുതുപ്പള്ളിയിൽ നടന്ന വികസനത്തെ പറ്റിയുള്ള ചോദ്യത്തിന് ചാണ്ടി ഉമ്മൻ മറുപടി പറഞ്ഞില്ല,FALSE
TRAIN_20,പുതുപ്പള്ളിയിലെ വികസനത്തേക്കുറിച്ച് തുറന്ന സംവാദത്തിന് തയ്യാറുണ്ടോ എന്ന ചോദ്യത്തിന് മറുപടി പറയാതെ ചാണ്ടി ഉമ്മൻ.,FALSE
TRAIN_21,"""നടപ്പാക്കാൻ കഴിയില്ലെന്ന് പറഞ്ഞ് ഉമ്മൻ ചാണ്ടി സർക്കാർ ഇട്ടിട്ട് പോയതും UDF ഉം BJP യും ഒരേ ശബ്ദത്തിൽ നടത്താൻ കഴിയില്ലെന്ന് പിണറായിയെ വെല്ലുവിളിക്കുകയും ചെയ്ത ദേശീയ പാത. 2025 ൽ കാസർഗോഡ് മുതൽ തിരുവനന്തപുരം വരെ ഈ പാത ഇങ്ങനെ സൂപ്പറാകും. ആദ്യം പണിപൂർത്തിയായ കാസർഗോഡ് റീച്ചിലെ ദൃശ്യം",FALSE
TRAIN_22,മുന്‍ കോണ്‍ഗ്രസ് സര്‍ക്കാര്‍ ഒന്നര വര്‍ഷത്തെ പെന്‍ഷന്‍ കുടിശിക വരുത്തിയിരുന്നു.,HALF TRUE
TRAIN_23,സ്വർണക്കടത്തിൽ അറസ്റ്റിലായ പ്രതി സരിത്തിനൊപ്പം മുൻ മുഖ്യമന്ത്രി ഉമ്മൻചാണ്ടി,FALSE
TRAIN_24,പൊതുമരാമത്ത് വകുപ്പ് കോഴിക്കോട് നിര്‍മിച്ച റോഡ്.,FALSE
TRAIN_25,കോഴിക്കോട് തളി ശിവക്ഷേത്രത്തിൽ ദർശനം പൊലീസ് കാവലിൽ,FALSE
TRAIN_26,കോഴിക്കോട് തളി ശിവക്ഷേത്രം നിൽക്കുന്ന പ്രദേശം മർക്കസ് ദുവ എന്ന് പുനർനാമകരണം ചെയ്തു,FALSE
TRAIN_27,കോഴിക്കോട് ചിന്തന്‍ ശിബിരത്തില്‍ പങ്കെടുക്കാത്തതുമായി ബന്ധപ്പെട്ട മാധ്യമങ്ങളുടെ ചോദ്യത്തിന് രോഷാകുലനായി പ്രതികരിക്കുന്ന മുല്ലപ്പള്ളി രാമചന്ദ്രന്‍.,FALSE
TRAIN_28,കോഴിക്കോട്ട് നടന്ന k rail വിശദീകരണ യോഗത്തില്‍ ആരും പങ്കെടുത്തില്ല,FALSE
TRAIN_29,കോഴിക്കോട് റെയില്‍വെ സ്‌റ്റേഷനില്‍ നിന്ന് 650 കിലോ പഴകിയ കോഴിയിറച്ചി പിടിച്ചുകോഴിക്കോട് റെയില്‍വെ സ്‌റ്റേഷനില്‍ നിന്ന് 650 കിലോ പഴകിയ കോഴിയിറച്ചി പിടിച്ചു,HALF TRUE
TRAIN_30,കോഴിക്കോട്ട് നടന്ന k rail വിശദീകരണ യോഗത്തിലെ ഒഴിഞ്ഞ കസേരകൾ.,FALSE
TRAIN_31,1970കളിൽ കോഴിക്കോട് ഫൂട്ബോൾ കളി കാണാൻ വന്ന സ്ത്രീകളുടെ ഫോട്ടോ.,FALSE
TRAIN_32,വഖഫ് സംരക്ഷണത്തിനായുള്ള മുസ്ലീം ലീഗ് സമ്മേളനം കോഴിക്കോട് ബീച്ചില്‍ നടന്നതിനു തൊട്ടടുത്ത ദിവസം ബെവ്‌കോ പുറത്തുവിട്ട കണക്കില്‍ കോഴിക്കോട് ജില്ലയില്‍ റെക്കോഡ് മദ്യ വില്‍പന.,FALSE
TRAIN_33,ഡിസംബർ 9നു കോഴിക്കോട് റെക്കോഡ് മദ്യവില്‍പന.,FALSE
